prototipo,proyecto
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas
"Tejer para destejer la contaminación
","Tejer para destejer la contaminación
"
"UpTex: Residuos textiles
","UpTex: Residuos textiles
"
Emociones migrantes en el Mesón Estrella,Emociones migrantes en el Mesón Estrella
¡Suben! Señalética de rutas urbanas,¡Suben! Señalética de rutas urbanas
Testigos del Pasado: Árboles patrimoniales de Nuevo León,Testigos del Pasado: Árboles patrimoniales de Nuevo León
Leyendas de Nuevo León: Juegos de rol inspirados en la región,"Leyendas del Noreste: comunidad de creación de juegos de rol
"
HEN: una app para todxs,HEN: una app para todxs
"Baal-Nah: Aislante térmico de cáscara de cacahuate
","Baal-Nah: Aislante térmico de cáscara de cacahuate
"
"Memorias de los Viejos Chicaleros
","Memorias de los Viejos Chicaleros
"
ColectiBi[o]t: orquesta de laptops y dispositivos móviles,ColectiBi[o]t: orquesta de laptops y dispositivos móviles
Autoconstructores: Saberes y prácticas para la autonomía constructiva,Autoconstructores: Saberes y prácticas para la autonomía constructiva
Contra-concreto: experimentaciones para picnic sobre concreto,Contra-concreto: experimentaciones para picnic sobre concreto
Manos a la tierra: exploraciones sostenibles para mobiliario del espacio público.,Manos a la tierra: exploraciones sostenibles para mobiliario del espacio público.
Gente de los Condo: Exploración del espacio común de los Condominios Constitución,Gente de los Condo: Exploración del espacio común de los Condominios Constitución
Microteca 1.0,"Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos"
Mapa interactivo · Mapeando y preservando la herencia arquitectónica de Nuevo León,Mapeando y preservando la herencia arquitectónica de Nuevo León
Orgánica³: Combinando compostaje y electrónica,Orgánica³: Combinando compostaje y electrónica
Somos luz · Mapa Móvil,Somos luz: Compartiendo memorias del barrio
Lotería de Barrio,Somos luz: Compartiendo memorias del barrio
"Ayuguara: Metodología y manifiesto para caminar, sentir y pensar con la montaña","Ayuguara: Metodología y manifiesto para caminar, sentir y pensar con la montaña"
Re-sanando Banquetas,MASciudad
Mapeo de Banquetas en Mal Estado,MASciudad
Paste-up,MASciudad
La Bichota,MASciudad
A jugar pitarra · App y tablero,A jugar Pitarra
Rastreo del Agua en Nuevo León,GeoSTATS
Mapeo del Tercer Sector en Nuevo León,GeoSTATS
Mapeo Futuro con Derechos,GeoSTATS
GeoStats - Mapa digital de contaminación en ZMM,GeoSTATS
Monterrey Antiguo VR: Cine Elizondo,Visor Histórico - Mty
Prototipo: Plaza del Chorro,Visor Histórico - Mty
Recolector dinámico,Plasticiclo
(Berta)Modelo industrial,Plasticiclo
Franki la inyectora	,Plasticiclo
Maquina de filamento        ,Plasticiclo
Kichi horno por convección	,Plasticiclo
Molde metal (bajo presupuesto),Plasticiclo
Sonidos de la noche - Página web,Sonidos de la noche
Parada Adecuada: transformando y dignificando un espacio de pausa,Parada Adecuada: transformando y dignificando un espacio de pausa
Tipi inmersivo,Viaje al microcosmos de Nuevo León
Microscopios DIY,Viaje al microcosmos de Nuevo León
Bitácora del Agua,Viaje al microcosmos de Nuevo León
Atlas de Género NL · Plataforma digital,Atlas de Género NL
818PK Spots,818PK Spots
Por un senderismo sustentable y responsable · Señalética Cerro de la Silla,Por un senderismo sustentable y responsable
Manual de Senderismo Seguro y Sustentable,Por un senderismo sustentable y responsable
Espejismos lúcidos: proyecciones y representaciones de aquello que nunca se habló,Espejismos lúcidos: proyecciones y representaciones de aquello que nunca se habló
Micotexturas: alternativas textiles con hongos,Micotexturas: alternativas textiles con hongos
FabCity Challenge Biodiverciudades,FabCity Challenge Biodiverciudades
Fer_Ela,Más que manos
Rodrigo_Hydra,Más que manos
Tate_Clicker,Más que manos
Diseñemos nuestra muñeca: Miradas de las feminidades del cáncer,Diseñemos nuestra muñeca: Miradas de las feminidades del cáncer
Historias que se sienten: Leyendas norestenses en Braille,Historias que se sienten: Leyendas norestenses en Braille
Red de Servicios para el hogar,Promoción de las trabajadoras del hogar
Observatorio Espacial Ciudadano,Observatorio Espacial Ciudadano
Skateparks de Nuevo León,Skateparks de Nuevo León
Nuestras Calles: Plataforma sobre el acoso en el espacio público,Nuestras Calles: Plataforma sobre el acoso en el espacio público
De Monterrey a Espinazo: Recorrido virtual en un tren de pasajeros,"Narrativas ferroviarias: registro y difusión de la memoria obrera
"
Cultivo de Escritores: Ejercicios creativos con juegos de rol,Cultivo de Escritores: Ejercicios creativos con juegos de rol
Oasis: Hidratando la tierra,Oasis: Hidratando la tierra
Pausa Urbana: sombra y descanso en el espacio público,Pausa Urbana: sombra y descanso en el espacio público
Divulgación de Datos Públicos,"DataLABNL + OGP Innovar para Participar con Datos Abiertos
"
 Equidad de Género dentro de las Dependencias del Estado de Nuevo León,"DataLABNL + OGP Innovar para Participar con Datos Abiertos
"
¿Cómo vamos en Datos en Nuevo León?,"DataLABNL + OGP Innovar para Participar con Datos Abiertos
"
Libro de Cuentos,Somos luz: Compartiendo memorias del barrio
RECAP: Registro Comunitario de Abusos Policiales,RECAP: Registro Comunitario de Abusos Policiales
Instalación escénica,Orígenes
Experiencia sonora ,Orígenes
Performance,Orígenes
Sección Violeta ,Georregias
Territoria,Georregias
Datos + Territoria,Georregias
Mapeo digital y guía de espacios seguros LGBTQ+,Mapeo y guía de espacios seguros LGBTQ+
Instalación artística y experimentación con cáñamo,Instalación artística y experimentación con cáñamo
"Orgullo inflable
","Orgullo inflable
"
Espacio Red,Espacio Red
Mexiabejas,Mexiabejas
"Laboratorios Filosóficos
","Laboratorios Filosóficos
"
"Evaluación Ciudadana de MUPIs
","Evaluación Ciudadana de MUPIs
"
Mapeo digital de patrimonio moderno de Nuevo Léon,Mapeo digital de patrimonio moderno de Nuevo Léon
"Sanando la Contingencia
","Sanando la Contingencia
"
"UVA: filtro de aire para transporte colectivo
","UVA: filtro de aire para transporte colectivo
"
Escaneo láser y fotogrametría del patrimonio arquitectónico,Mapeando y preservando la herencia arquitectónica de Nuevo León
Sistema de intervención escénica en espacios públicos,Laboratorio del cuerpo y el espacio vivo
El cuerpo como máquina para el reciclaje,El cuerpo como máquina para el reciclaje
Aroace: visibilidad y memoria,Aroace: visibilidad y memoria
Recorriendo nuestra ciudad: mapas de movilidad sostenible,Recorriendo nuestra ciudad: mapas de movilidad sostenible
Exo-cabezas: máscaras frente a la contaminación,Exo-cabezas: máscaras frente a la contaminación
Ecos de vida,Ecos de vida
Fotovoz: narrativas de lo común en Monterrey,Fotovoz: narrativas de lo común en Monterrey
Sierragrafía: cartografía artística de la sierra,Sierragrafía: cartografía artística de la sierra
Derecho a jugar: la primera infancia en el espacio público,Derecho a jugar: la primera infancia en el espacio público
Space NL: un cohete colaborativo,Space NL: un cohete colaborativo
Acuario Virtual,Viaje al microcosmos de Nuevo León
"
	
Torno alfarero DIY","Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos"
"
	
Dispositivo de escucha profunda","Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos"
Cribador Urbano,Autoconstructores: Saberes y prácticas para la autonomía constructiva
Aldo,Más que manos
Entorno Total,Entorno Total
Raíces: Una herramienta para la tradición,Raíces: Una herramienta para la tradición
Rayones: Archivo experimental del tatuaje local ,Rayones: Archivo experimental del tatuaje local 
"La acequia de La Fama, N.L",Visor Histórico - Mty
Plantilla - Juego de la oca,Leyendas del Noreste: comunidad de creación de juegos de rol