proyectos,tipo_actividades,Status,Enlace a wiki,año de inicio,año fin
"Tejer para destejer la contaminación
",Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx//index.php?title=Tejer_para_destejer_la_contaminaci%C3%B3n,2024,2024
"UpTex: Residuos textiles
",Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx//index.php?title=UpTex:_Residuos_textiles,2024,2024
Emociones migrantes en el Mesón Estrella,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx//index.php?title=Emociones_migrantes_en_el_Mes%C3%B3n_Estrella,2024,2024
¡Suben! Señalética de rutas urbanas,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx//index.php?title=%C2%A1Suben!_Se%C3%B1al%C3%A9tica_de_rutas_urbanas,2024,2024
Testigos del Pasado: Árboles patrimoniales de Nuevo León,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx//index.php?title=Testigos_del_Pasado:_%C3%81rboles_patrimoniales_de_Nuevo_Le%C3%B3n,2024,2024
"Memorias de los Viejos Chicaleros
",Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx//index.php?title=Memorias_de_los_Viejos_Chicaleros,2024,2024
Memoria LGBTQ+,Sesiones de prototipado,Finalizado,https://wiki.labnuevoleon.mx//index.php?title=Memoria_LGBT%2B,2023,2023
Contra-concreto: experimentaciones para picnic sobre concreto,MIC,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Contra-concreto:_experimentaciones_para_picnic_sobre_concreto,2023,2024
Manos a la tierra: exploraciones sostenibles para mobiliario del espacio público.,MIC,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Manos_a_la_tierra:_exploraciones_sostenibles_para_mobiliario_del_espacio_p%C3%BAblico.,2023,2023
"Ayuguara: Metodología y manifiesto para caminar, sentir y pensar con la montaña",Comunidad,Finalizado,"https://wiki.labnuevoleon.mx/index.php?title=Ayuguara:_Metodolog%C3%ADa_y_manifiesto_para_caminar,_sentir_y_pensar_con_la_monta%C3%B1a",2022,2024
Parada Adecuada: transformando y dignificando un espacio de pausa,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Parada_Adecuada:_transformando_y_dignificando_un_espacio_de_pausa,2023,2024
Cuidado colectivo de las plantas,Comunidad,Finalizado,https://wiki.labnuevoleon.mx//index.php?title=Cuidados_colectivos_de_las_plantas,2024,2024
"Leyendas del Noreste: comunidad de creación de juegos de rol
",Comunidad,Activo,https://wiki.labnuevoleon.mx//index.php?title=Leyendas_de_Nuevo_Le%C3%B3n:_Juegos_de_rol_inspirados_en_la_regi%C3%B3n,2024,2024
HEN: una app para todxs,Comunidad,Activo,https://wiki.labnuevoleon.mx//index.php?title=HEN:_Una_app_para_todxs,2024,2024
"Baal-Nah: Aislante térmico de cáscara de cacahuate
",Comunidad,Finalizado,https://wiki.labnuevoleon.mx//index.php?title=Baal-Nah:_Aislante_t%C3%A9rmico_de_c%C3%A1scara_de_cacahuate,2024,2024
Gente de los Condo: Exploración del espacio común de los Condominios Constitución,Comunidad,Activo,https://wiki.labnuevoleon.mx//index.php?title=Gente_de_los_Condo:_Exploraci%C3%B3n_del_espacio_com%C3%BAn_de_los_Condominios_Constituci%C3%B3n,2024,
ColectiBi[o]t: orquesta de laptops y dispositivos móviles,MIC,Finalizado,https://wiki.labnuevoleon.mx//index.php?title=ColectiBi(o)t:_orquesta_de_laptops_y_dispositivos_m%C3%B3viles,2023,
Autoconstructores: Saberes y prácticas para la autonomía constructiva,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Autoconstructores:_Saberes_y_pr%C3%A1cticas_para_la_autonom%C3%ADa_constructiva,2023,
"Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos",Comunidad,Activo,"https://wiki.labnuevoleon.mx/index.php?title=Microteca:_Fermentaci%C3%B3n,_germinaci%C3%B3n_de_semillas_y_cultivo_de_setas_en_espacios_m%C3%ADnimos",2024,
Mapeando y preservando la herencia arquitectónica de Nuevo León,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Mapeando_y_preservando_la_herencia_arquitect%C3%B3nica_de_Nuevo_Le%C3%B3n,2023,
Orgánica³: Combinando compostaje y electrónica,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Org%C3%A1nica%C2%B3:_Combinando_compostaje_y_electr%C3%B3nica,2023,
Somos luz: Compartiendo memorias del barrio,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Somos_luz:_Compartiendo_memorias_del_barrio,2023,
MASciudad,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=MASciudad,2021,
A jugar Pitarra,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=A_jugar_Pitarra,2023,2024
GeoSTATS,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=GeoSTATS,2021,
Visor Histórico - Mty,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Visor_Hist%C3%B3rico_-_Mty,2021,
Plasticiclo,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Plasticicl,2022,
Sonidos de la noche,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Sonidos_de_la_noche,2023,2024
Viaje al microcosmos de Nuevo León,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Viaje_al_microcosmos_de_Nuevo_Le%C3%B3n,2021,
Atlas de Género NL,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Atlas_de_G%C3%A9nero_NL,2023,
818PK Spots,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=818PK_Spots,2023,2024
Por un senderismo sustentable y responsable,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Por_un_senderismo_sustentable_y_responsable,2023,
Espejismos lúcidos: proyecciones y representaciones de aquello que nunca se habló,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Espejismos_l%C3%BAcidos:_proyecciones_y_representaciones_de_aquello_que_nunca_se_habl%C3%B3,2023,
Micotexturas: alternativas textiles con hongos,MIC,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Micotexturas:_alternativas_textiles_con_hongos,2023,
FabCity Challenge Biodiverciudades,Sesiones de prototipado,Activo,https://wiki.labnuevoleon.mx/index.php?title=BiodiverCities,2024,
Más que manos,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=M%C3%A1s_que_manos:_Autofabricaci%C3%B3n_de_pr%C3%B3tesis_creativas_con_impresi%C3%B3n_3D,2024,
Diseñemos nuestra muñeca: Miradas de las feminidades del cáncer,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Dise%C3%B1emos_nuestra_mu%C3%B1eca:_Miradas_de_las_feminidades_del_c%C3%A1ncer,2024,
Historias que se sienten: Leyendas norestenses en Braille,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Historias_que_se_sienten:_Leyendas_norestenses_en_Braille,2024,
Observatorio Espacial Ciudadano,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Observatorio_Espacial_Ciudadano,2024,2024
Skateparks de Nuevo León,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Skateparks_de_Nuevo_Le%C3%B3n,2024,2024
Nuestras Calles: Plataforma sobre el acoso en el espacio público,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Nuestras_Calles:_Plataforma_sobre_el_acoso_en_el_espacio_p%C3%BAblico,2024,
"Narrativas ferroviarias: registro y difusión de la memoria obrera
",Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=De_Monterrey_a_Espinazo:_Recorrido_virtual_en_un_tren_de_pasajeros,2024,
Cultivo de Escritores: Ejercicios creativos con juegos de rol,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Cultivo_de_Escritores:_Ejercicios_creativos_con_juegos_de_rol,2024,
Oasis: Hidratando la tierra,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Oasis:_Hidratando_la_tierra,2024,2024
Pausa Urbana: sombra y descanso en el espacio público,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Pausa_Urbana:_sombra_y_descanso_en_el_espacio_p%C3%BAblico,2024,2024
"DataLABNL + OGP Innovar para Participar con Datos Abiertos
",Sesiones de prototipado,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=DataLABNL_%2B_OGP_Innovar_para_Participar_con_Datos_Abiertos,2024,2024
RECAP: Registro Comunitario de Abusos Policiales,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=RECAP:_Registro_Comunitario_de_Abusos_Policiales,2023,2023
Instalación artística y experimentación con cáñamo,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Instalaci%C3%B3n_art%C3%ADstica_y_experimentaci%C3%B3n_con_c%C3%A1%C3%B1amo,2023,2023
"Orgullo inflable
",Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Orgullo_inflable,2022,2022
Espacio Red,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Espacio_Red,2022,2022
Mexiabejas,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Mexiabejas,2021,2023
"Laboratorios Filosóficos
",Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Laboratorios_Filos%C3%B3ficos,2021,2022
"Evaluación Ciudadana de MUPIs
",Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Evaluaci%C3%B3n_Ciudadana_de_MUPIs,2021,2021
Mapeo digital de patrimonio moderno de Nuevo Léon,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Mapeo_digital_de_patrimonio_moderno_de_Nuevo_L%C3%A9on,2021,2022
"Sanando la Contingencia
",Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Sanando_la_Contingencia,2021,2023
"UVA: filtro de aire para transporte colectivo
",Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=UVA:_filtro_de_aire_para_transporte_colectivo,2021,2021
Orígenes,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Or%C3%ADgenes,2021,2023
Georregias,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Georregias,2021,2023
Mapeo y guía de espacios seguros LGBTQ+,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Mapeo_y_gu%C3%ADa_de_espacios_seguros_LGBTQ%2B,2021,2023
Promoción de las trabajadoras del hogar,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Promoci%C3%B3n_de_las_trabajadoras_del_hogar,2024,
Laboratorio del cuerpo y el espacio vivo,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Laboratorio_del_cuerpo_y_el_espacio_vivo&action=edit&redlink=1,2025,
El cuerpo como máquina para el reciclaje,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=El_cuerpo_como_m%C3%A1quina_para_el_reciclaje&action=edit&redlink=1,2025,
Aroace: visibilidad y memoria,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Aroace:_visibilidad_y_memoria&action=edit&redlink=1,2025,
Recorriendo nuestra ciudad: mapas de movilidad sostenible,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Recorriendo_nuestra_ciudad:_mapas_de_movilidad_sostenible&action=edit&redlink=1,2025,
Exo-cabezas: máscaras frente a la contaminación,Proyectos ciudadanos,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Exo-cabezas:_m%C3%A1scaras_frente_a_la_contaminaci%C3%B3n&action=edit&redlink=1,2025,
Ecos de vida,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Ecos_de_vida&action=edit&redlink=1,2025,
Fotovoz: narrativas de lo común en Monterrey,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Fotovoz:_narrativas_de_lo_com%C3%BAn_en_Monterrey&action=edit&redlink=1,2025,
Sierragrafía: cartografía artística de la sierra,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Sierragraf%C3%ADa:_cartograf%C3%ADa_art%C3%ADstica_de_la_sierra&action=edit&redlink=1,2025,
Derecho a jugar: la primera infancia en el espacio público,Comunidad,Finalizado,https://wiki.labnuevoleon.mx/index.php?title=Derecho_a_jugar:_la_primera_infancia_en_el_espacio_p%C3%BAblico&action=edit&redlink=1,2025,
Space NL: un cohete colaborativo,Comunidad,Activo,https://wiki.labnuevoleon.mx/index.php?title=Space_NL:_un_cohete_colaborativo&action=edit&redlink=1,2025,
Entorno Total,MIC,Activo,https://wiki.labnuevoleon.mx/index.php?title=Entorno_Total,2025,
Raíces: Una herramienta para la tradición,MIC,Activo,https://wiki.labnuevoleon.mx/index.php?title=Ra%C3%ADces:_una_herramienta_para_la_tradici%C3%B3n,2025,
Rayones: Archivo experimental del tatuaje local ,MIC,Activo,https://wiki.labnuevoleon.mx/index.php?title=Rayones,2025,